Delete ?,prompt,response
,"I have two doubts in NCG, in the balance sheets of relatively small companies, in the current assets when it says “others” I never saw what is included in this item, in these specific cases you would ask the company to see with the accountant what is included in this other item or would you leave pass and would you include it in the NCG? And the other question I have, which may seem stupid, but I'm going to have to ask the same question because I'm in doubt now, in the NCG III class there was 700 in the debit account and 600 in the credit account, if in the account Debtor is what you will receive, and it is greater than the creditor part (which you will pay), why would you need working capital?","About your question about the other account, or can you find this information in the explanatory notes or speaking directly to the company if it does not have an audited balance sheet
Regarding NCG's question, if you have more operating assets than operating liabilities, you need an additional source of funding to finance these assets... in training, in accounting classes, this is explained step-by-step"
,"Ricardo, just asking a quick question here: Are there many vacation internships within the financial market? And if so, is it common? ","Yes, there are a lot. The main challenge is not finding this type of opportunity but rather being prepared to get it getting hired... focus on the sample to draw positive attention to your resume"
,How do you suggest I put the sample on my resume? put a link to google drive?,"The best way for you to demonstrate your sample on your resume is to place both a PDF report and an Excel model within a public cloud (could be Gdrive, OneDrive, etc.) and on your resume you place a link to this cloud so that the person can click and go directly to this directory to analyze their work"
,"Say Ricardo, how are you? Dude, I'm following your course here and I'm already seeing results. I'm still consolidating my accounting base, but I've already been called for an interview at an M&A boutique on Thursday. What do you think I need to prepare for? any more questions? Any questions besides the ones you teach in the YouTube videos?","Everything's fine here. It's great that you're already getting results, I'm happy. My main suggestion for you to prepare is to have a well-constructed sample so that you know how to talk about it at a high level in an interview... other than that, study the company you are interviewing for before talking to someone there. And if you want, we have material on the 100 most common questions from selection process... if you want, I can give you more details on how it works"
,"Citi has a vacancy open for an internship in Corporate Banking here in RJ
I'm interested in the position, but my sample isn't ready yet, and I need to finish the LREN3 report
The question is: do I send my application and then present my sample? Is an internship at Citi valid?
Tmj and thank you for your attention, your content adds a lot to me, I've even recommended it to a colleague of mine here at the agency","I'm happy that the Training is delivering the results to you. Yes, this stage is quite valid. There's no time to finish the sample, anyway try to finish it by the time of the interview... That way you can comment on it in the conversation. I would also like to thank you for the recommendation, if you want to give me the person's name and number I can speak to them myself considering it is coming from your recommendation"
,"Two more vacancies appeared in the selection process that I had signed up for and I went to the last stage which is the interview

One is in credit backoffice and the other is this one, but I didn't understand exactly what this area does and I don't know how to prepare for this interview, it will be next Tuesday","The main thing you should pay attention to is defining Whether a vacancy is back-office or front-office is the day-to-day dynamics. In the Backoffice, the focus is more on the operational and support side. On the front, these are areas directly linked to the company's core business. Preparing for an interview involves having a well-done Sample and studying a lot about the company... This is essential to demonstrate that you have done your homework"
,Which company do you recommend to carry out a first credit analysis?,LREN3 is a good one
,“But the trpl3 and trpl4 shares,the trpl4 costs 26.34 and the trpl3 costs 37.50.
,I don't understand what changes for me to find the fair value,I did the same as Ricardo did in Ambev's Valuation
,Samarth the great,hahahahha
,"Is there any data that I put in one that I don't put in another?""","You must calculate the nominal fair value of the company and divide it by the total number of shares outstanding. This way you arrive at the fair value per share. And then you can compare this fair value with the market quotation... If the market prices different classes of shares of the same company, what justifies this are points such as liquidity, voting rights, priority in receiving dividends, etc"
,Which area do you think I should focus on to enter the financial market without experience,"I suggest you focus on more technical areas. Areas such as PE, IB, VC, M&A, Credit, Asset are good alternatives."
,"I'm in the last place of this selection process, I have a test and an in-person interview, do you think I should study/focus on what to be prepared? My test is next Wednesday at 10 am",Focus on mastering module two very well of the training
,"I have two job opportunities, one at XP Inc, in the advisory department and the other would be an internship in credit at Bradesco.
Thinking in the long term both about learning and the financial part, which choice do you think would benefit me more?","I will start in credit since it is a more technical area and consequently you would accelerate your learning. After having experience in this position, you can reflect on whether or not it makes sense to migrate to a more commercial area such as consultancy"
,"I have a question. Would it be a problem for me to start your course with module X (learn how to invest in shares)?

Then, after finishing X, go back to module II on valuation","No problem, but I think it's better to start in module two as it focuses on analyzing a case in practice. If you have any difficulties with the accounting part, take a look at the accounting classes first, which will make understanding much easier"
,"Good evening, sorry for bothering you at this time, but the reason is as follows, I had an interview at XP for a backoffice position (M&A).

However, I still haven't 100% mastered the valuation issue, I'm having some modeling difficulties, do you think it would be a good idea to accept the opportunity at XP even without mastering M&A in practice?

I know that in M&A the issue of modeling and scenarios is quite important, I'm still a little unsure about this content, would it be worth accepting the opportunity to learn more in practice? Or do you think that it would be frowned upon by the company if the collaborator did not have 100% mastery of this content","no company expects to hire someone who masters 100% of the content. Unless it's a senior position or something close to that.

Don't worry about that, keep studying, accept the position and learn in practice, practical learning will help you a lot"
,"I'm going to apply for a position in wealth management and I'm putting together a sample to attach to my CV, would you have an example or that of another student so I can analyze it, the first position I'm going to apply for","Take a look at YouTube , type ""Sample Private peruffo"" and you will find an example there"
,"I'm reviewing some classes to take notes and remember some basic things... can you tell me which ones would be interesting for me to understand more things like economic data, DI, IPCA, etc?

Everyday things that are used in any analysis, I'm less lost in more practical classes","Most important economic data:

Retail sales
IPCA
IGPM
PMI
GDP
CDI
Unemployment rate.

These are the most important"
,"I'm doing the valuation of Alliar, however, the corporate structure has changed a lot, from what I understand they are trying to go private and the share price has dropped a lot. The Fonte de Saude and Lormont fund holds approximately 93.31% of the share capital of company.

What would be the best approach to doing the valuation in this case?","Doing a DCF is always the most complete way to do a valuation, do this"
,"I interned during the summer at Genial Investimentos, and they made me an offer to train here in the USA and go work with them, at the commodity futures contracts desk

I didn't want to rush in and ask about salary, could you tell me a base or some average for this area?",
,"I'm in accounting class, part of ncg and operational flow, the question of ncg of taking customer assets and stocks and subtracting them from current liabilities, then in the example shared there we had an ncg of -2 and another of 6, then it comes in as working capital of 8, but I don't understand why it comes in as -8

From what I understood, increasing NCG was a good thing, but since it was negative I didn't understand","Increasing NCG is not necessarily a good thing. Sometimes the company will pay suppliers in cash, to get a discount and this money comes from loans. There are some reasons that can make the ncg “worse” in the short term, but it is good for the company"
,How do I write a report,"Take a look at our class on how to write a report, in the extra module. It will answer all your questions"
,"I'm participating in a process in which step 1 was to write a report on a company telling a little about its history, now I'm in step 2 which is to send a fcff valuation model, do you think I should send what is available on the course or should I create a smaller and more summarized one for the vacancy? It asked for premises, model data, accounts and organization, these are the evaluation criteria",Use the training model as it is simple but complete
,I started watching the fixed income content but I didn't understand the part where it says that a pre-fixed security has its profitability converging to market values ​​if the Selic falls. The pre-fixed security accounts for the rate you contracted regardless of the market rate . However,the price of the security may vary until maturity as the face value of this security will be discounted to date using the market rate
,Can you tell me a good Excel course? The training provides everything you need to know about Excel. You don't need to be an expert,
