prompt,answer,,,,,,
1,"Tenho duas dúvidas em NCG, em balanços de empresas relativamente pequenas, no ativo circulante quando consta “outros” nunca enxerguei o que é incluído nesse item, nesses caso em específico você pediria a empresa ver com o contador o que consta nesse outros ou deixaria passar e incluiria ele na NCG? E a outra dúvida que tenho, que pode até parece idiota, mas vou ter que perguntar igual porque me deu dúvida agora, na aula NCG III constava 700 na conta devedora e 600 na conta credora, se na conta devedora é o que você vai receber, e está maior que a parte credora(que tu vai pagar), por que iria necessitar de capital de giro?","Sobre a sua dúvida da conta outros, ou você acha essa informação nas notas explicativas ou falando diretamente com a empresa caso não tenha um balanço auditado
Sobre a dúvida da NCG, se você tem mais ativos operacionais do que passivos operacionais, você precisa de uma fonte de funding adicional para financiar esses ativos… no Treinamento, nas aulas de contabilidade, isso é explicado de forma passo-a-passo",,,,,,
2,"Ricardo, só tirando uma dúvida rapidinho aqui: Existem muitos estágios de férias dentro do mercado financeiro? E se sim, é comum? ","Sim, existe bastante. Principal desafio não é achar esse tipo de oportunidade mas sim estar preparado para conseguir ser contratado… foca no sample para chamar atenção positiva do seu currículo",,,,,,
3,Como vc sugere que eu coloque o sample no curriculo? coloque um link pro google drive? ,"A melhor forma de você demonstrar o seu sample no currículo é você colocar tanto um relatório em PDF quanto um modelo em Excel dentro de uma nuvem pública (pode ser Gdrive, OneDrive, etc) e no seu currículo você coloca um link para essa nuvem de forma que a pessoa consiga clicar e cair diretamente nesse diretório para analisar o seu trabalho",,,,,,
4,"Fala Ricardo, tudo bem? Cara estou acompanhando seu curso aqui e já estou tendo resultados. Ainda to consolidando minha base de contabilidade, mas já fui chamado para uma entrevista em uma boutique de M&A na quinta feira.O que acha que preciso me preparar mais? Alguma pergunta além das que vc ensina nos vídeos do YouTube?","Tudo certo por aqui. Legal que você já está tendo resultados, fico feliz. A minha sugestão principal para você se preparar é ter um sample bem construído de forma que você saiba dialogar em alto nível sobre ele em uma entrevista… fora isso, estuda muito bem a empresa que você for fazer a entrevista antes de falar com alguém de lá. E se você quiser, a gente tem um material das 100 perguntas mais comuns de processo seletivos... se quiser posso te dar mais detalhes de como funciona",,,,,,
5,"O Citi está com vaga aberta pra estágio em Corporate Banking aqui no RJ
Me interessei pela vaga, mas meu sample não está pronto ainda, e preciso finalizar o relatório da LREN3
A dúvida é a seguinte: eu envio minha candidatura e depois apresento meu sample? Estágio no Citi é válido?
Tmj e obg pela atenção, seus conteúdos me agregam muito, já até indiquei pra uma colega minha aqui na agência","Fico feliz que o Treinamento esteja entregando o resultado para você. Sim, esse estágio é bastante válido. Não dá tempo de terminar o sample, aplica de qualquer forma tenta terminar até o momento da entrevista… Dessa forma você pode comentar sobre ele na conversa. Agradeço também a indicação, se quiser me passar o nome e o número da pessoa eu posso eu mesmo falar com ela considerando que está vindo da sua indicação",,,,,,
6,"surgiram mais duas vagas de processo seletivo q eu tinha me inscrito e eu passei para a última etapa q é a entrevista

Um é em backoffice de crédito e o outro é esse aqui, porém eu não entendi exatamente oq essa área faz e n sei como me prepara para essa entrevista, ela vai ser terça que vem","A principal coisa que você deve se atentar para definir se uma vaga é de backoffice ou frontoffice é a dinâmica do dia a dia. No Backoffice, o foco é mais na parte operacional e suporte. No front, são áreas diretamente ligadas ao core business da empresa. A preparação para entrevista envolve ter um Sample bem feito e estudar bastante sobre a empresa… Isso é essencial para demonstrar que você fez a sua lição de casa",,,,,,
7,Qual empresa tu indica para fazer uma primeira análise de crédito?,LREN3 é uma boa,,,,,,
8,"Mas as ações trpl3 e trpl4, a trpl4 custa 26,34 e a trpl3 custa 37,50.
eu não estou entendendo o que muda para eu achar o valor justo, eu fiz igual ao que o Ricardo fez no Valuation da ambev

tem algum dado que eu coloco em uma que não coloco em outra?","Você deve calcular o valor justo nominal da empresa e dividir pelo número total de ações em circulação. Dessa forma você chega no valor justo por ação. E aí você pode comparar esse valor justo com a cotação de mercado… Se o mercado precifica classes de ações diferentes da mesma empresa, o que justifica isso são pontos como liquidez, direito de voto, prioridade no recebimento de dividendos, etc",,,,,,
9,Qual área você acha que eu devo focar para ingressar no mercado financeiro sem experiência,"Sugiro você focar em áreas mais técnicas. Áreas como PE, IB, VC, M&A, Credito, Asset são boas alternativas. ",,,,,,
10,"To na última vaga desse processo seletivo, tenho uma prova e entrevista presencial, você acha q eu devo estudar/focar em que para ir preparado ? Minha prova é quarta feira que vem 10h da manhã",Foca em dominar muito bem o módulo dois do treinamento estuda bem sobre a empresa antes para mostrar que fez a sua lição de casa,,,,,,
